applicant_id_eri,bird_id_eri,banded,band_number,permit_id,species_id,Type of parrot(provided by applicant),Sex,parrot_age_description,parrot_age_months,date_parrot_age_described,pet_name,period_of_ownership_months,period_of_ownership_years,obtain_by,town_obtained,district_obtain,enclosure_type,cage_location,cage_size_feet,shared_separate,Comments
App_1786,Bird_1984,,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,0.0,10.0,Application,Kiwi,9.0,0.0,Gifted,MISSING,MISSING,Caged,Outside in yard,MISSING,NA,
App_1787,Bird_1985,,MISSING,MISSING,1.0,Red-lored Parrot,Male,2.0,24.0,Application,Lolo,MISSING,MISSING,Bought,MISSING,MISSING,Caged,MISSING,MISSING,NA,
App_1788,Bird_1986,,MISSING,MISSING,3.0,White-fronted Parrot,Female,3.0,36.0,Application,Kiwi,MISSING,MISSING,Found,Orange Walk,Orange Walk,MISSING,MISSING,MISSING,NA,The bird flew into the house as a baby and they kept it
App_1789,Bird_1987,,MISSING,MISSING,MISSING,Parrot,MISSING,MISSING,MISSING,Application,Bird,12.0,1.0,Gifted,MISSING,MISSING,Free,MISSING,MISSING,NA,Has a cage but lives free indoors
App_1790,Bird_1988,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Application,Corazon,6.0,0.0,Gifted,MISSING,MISSING,Caged,MISSING,4*2*2,NA,
App_1791,Bird_1989,,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,MISSING,MISSING,Application,Karla,120.0,10.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1792,Bird_1990,,MISSING,MISSING,MISSING,Parrot,Male,MISSING,MISSING,Application,Pique,3.0,0.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,Enclosure inside house
App_1793,Bird_1991,,MISSING,MISSING,1.0,Red-lored Parrot,Female,12.0,144.0,Application,Bonita,144.0,12.0,Gifted,MISSING,MISSING,Cage,Indoor,5*5,MISSING,
App_1793,Bird_1992,,MISSING,MISSING,2.0,Yellow-headed Parrot,Male,18.0,216.0,Application,Paco,216.0,18.0,Gifted,MISSING,MISSING,Cage,Indoor,5*5,MISSING,
App_1794,Bird_1993,,MISSING,MISSING,MISSING,Parrot,Female,7.0,84.0,Application,Ria,84.0,7.0,Gifted,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING,Has a cage to sleep at night but also lives freely outside
App_1794,Bird_1994,,MISSING,MISSING,MISSING,Parrot,Male,7.0,84.0,Application,Lencho,84.0,7.0,Gifted,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING,Has a cage to sleep at night but also lives freely outside
App_1795,Bird_1995,,MISSING,MISSING,MISSING,Parrot,Female,UNKNOWN,UNKNOWN,Application,Florita,48.0,4.0,Bought,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1796,Bird_1996,,MISSING,MISSING,MISSING,Parrot,Female,4.0,48.0,Application,Lixey,48.0,4.0,Taken from the wild,MISSING,Corozal,Free,NA,NA,NA,Roams both inside and outside
App_1797,Bird_1997,,MISSING,MISSING,MISSING,Parrot,Male,5.0,60.0,Application,Lorry,60.0,5.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,Kept in house
App_1797,Bird_1998,,MISSING,MISSING,MISSING,Parrot,Male,5.0,60.0,Application,Larry,60.0,5.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,Kept in house
App_1798,Bird_1999,,MISSING,MISSING,1.0,Red-lored Parrot,UNKNOWN,5.0,60.0,Application,Loritos,60.0,5.0,Found,MISSING,MISSING,Chicken Coup,NA,NA,NA,Housed in chciken coup but new home is being constructed under guidelines
App_1798,Bird_2000,,MISSING,MISSING,1.0,Red-lored Parrot,UNKNOWN,5.0,60.0,Application,Bonitos,60.0,5.0,Found,MISSING,MISSING,Chicken Coup,NA,NA,NA,Housed in chciken coup but new home is being constructed under guidelines
App_1799,Bird_2001,,MISSING,MISSING,MISSING,Parrot,Male,UNKNOWN,UNKNOWN,Application,Odiee,84.0,7.0,Found,MISSING,MISSING,MISSING,MISSING,MISSING,NA,Resides at Forest Home Village
App_1800,Bird_2002,,MISSING,MISSING,MISSING,Parrot,Male,UNKNOWN,UNKNOWN,Application,Mango,7.0,0.0,Found,Corozal Town,Corozal,Caged,MISSING,MISSING,NA,Bird fell in their yard
App_1801,Bird_2003,,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,10.0,120.0,Application,Pally,MISSING,MISSING,Gifted,MISSING,MISSING,Caged,Outside in yard,MISSING,NA,
App_1802,Bird_2004,,MISSING,MISSING,MISSING,Parrot,MISSING,5.5,66.0,Application,Paquita,66.0,5.5,Found,San Ignacio,Cayo,Caged,Outside in yard,MISSING,NA,"Bird fel in their yard, they believe an eagle had it and somehow it managed to free itself"
App_1803,Bird_2005,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,MISSING,MISSING,Application,MISSING,4.0,0.0,Gifted,MISSING,MISSING,Cage,MISSING,36*46*25,NA,Plan to enlarge cage
App_1804,Bird_2006,,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,1.0,12.0,Application,Frankie,12.0,1.0,Gifted,MISSING,MISSING,Cage,Outside in yard,MISSING,NA,
App_1804,Bird_2007,,MISSING,MISSING,6.0,Yellow-lored Parrot,MISSING,1.0,12.0,Application,Bella,12.0,1.0,,,,,,,,
App_1805,Bird_2008,,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,MISSING,MISSING,Application,Pally,12.0,1.0,Gifted,MISSING,MISSING,Housed/Cage,Indoor,MISSING,NA,Parrot has its own house and a cage inside for emergencies
App_1806,Bird_2009,,MISSING,MISSING,MISSING,Parrot,MISSING,MISSING,MISSING,Application,Lory,48.0,4.0,Gifted,MISSING,MISSING,Cage,MISSING,5*6,NA,
App_1807,Bird_2010,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,MISSING,MISSING,Application,Nonito,48.0,4.0,Rescued,MISSING,MISSING,Free,NA,NA,NA,"Daytime-outdoors, nightime-indoors"
