eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
App_1702,Bird_1880,NULL,NULL,NULL,1.0,Red-lored Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,10.0,0.0,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1703,Bird_1881,NULL,NULL,NULL,3.0,White-fronted Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,42.0,3.5,Rescued,NULL,NULL,Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1704,Bird_1882,NULL,NULL,NULL,NULL,NULL,UNKNOWN,7.0,84.0,Application,NULL,7.0,84.0,Found,NULL,NULL,Cage,NULL,4*6*8,NULL,Found on the ground when he was a baby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1705,Bird_1883,NULL,NULL,NULL,3.0,White-fronted Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,12.0,1.0,Gifted,NULL,NULL,Free,NULL,NULL,NULL,Free in house,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1706,Bird_1884,NULL,NULL,NULL,4.0,Mealy Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,12.0,1.0,Gifted,NULL,NULL,Cage,Veranda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1707,Bird_1885,NULL,NULL,NULL,2.0,Yellow-headed Parrot,UNKNOWN,0.0,10.0,Application,NULL,10.0,0.0,Taken from the wild,NULL,NULL,Cage,Outside in yard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1707,Bird_1886,NULL,NULL,NULL,2.0,Yellow-headed Parrot,UNKNOWN,0.0,10.0,Application,NULL,10.0,0.0,Taken from the wild,NULL,NULL,Cage,Outside in yard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1708,Bird_1887,NULL,NULL,NULL,2.0,Yellow-headed Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,NULL,NULL,Gifted,NULL,NULL,Cage,Veranda,6*4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1709,Bird_1888,NULL,NULL,NULL,4.0,Mealy Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,108.0,9.0,Found,NULL,NULL,Cage,Outside in yard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1710,Bird_1889,NULL,NULL,NULL,3.0,White-fronted Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,24.0,2.0,Gifted,NULL,NULL,Free/Caged,NULL,NULL,NULL,"At day in tree, cage at night",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1710,Bird_1890,NULL,NULL,NULL,3.0,White-fronted Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,24.0,2.0,Gifted,NULL,NULL,Free/Caged,NULL,NULL,NULL,"At day in tree, cage at night",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1711,Bird_1891,NULL,NULL,NULL,NULL,Parrot,Male,UNKNOWN,UNKNOWN,Application,NULL,6.0,0.0,Gifted,NULL,NULL,Cage,Front porch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
