permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
114,,Historic,App_1416,,,,,,,,2,
115,,Historic,App_1417,,,,,,,,1,
116,,Historic,App_1418,,,,,,,,1,
117,,Historic,App_1419,,,,,,,,2,
118,,Historic,App_1420,,,,,,,,2,
119,,Historic,App_1421,,,,,,,,1,
120,,Historic,App_1422,,,,,,,,1,
121,,Historic,App_1423,,,,,,,,1,
122,,Historic,App_1424,,,,,,,,1,
123,,Historic,App_1425,,,,,,,,1,
124,,Historic,App_1426,,,,,,,,2,
125,,Historic,App_1427,,,,,,,,2,
126,,Historic,App_1428,,,,,,,,1,
127,,Historic,App_1429,,,,,,,,1,
128,,Historic,App_1430,,,,,,,,2,
129,,Historic,App_1431,,,,,,,,2,
130,,Historic,App_1432,,,,,,,,2,
131,,Historic,App_1433,,,,,,,,2,
132,,Historic,App_1434,,,,,,,,1,
133,,Historic,App_1435,,,,,,,,1,
134,,Historic,App_1436,,,,,,,,1,
135,,Historic,App_1437,,,,,,,,1,
136,,Call,App_1438,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2017-01-26,,2,
137,,Historic,App_1413,,,,,,,,1,
138,,Historic,App_1439,,,,,,,,2,
139,,Historic,App_1440,,,,,,,,1,
140,,Historic,App_1441,,,,,,,,1,
141,,Historic,App_1442,,,,,,,,1,
142,,Historic,App_1443,,,,,,,,1,
143,,Historic,App_1444,,,,,,,,1,
144,,Historic,App_1445,,,,,,,,1,
145,,Historic,App_1446,,,,,,,,2,
155,,Historic,App_1364,,,,,,,,1,
156,,Historic,App_1365,,,,,,,,1,
157,,Historic,App_1366,,,,,,,,2,
158,,Historic,App_1367,,,,,,,,1,
159,,Historic,App_1368,,,,,,,,2,
160,,Historic,App_1369,,,,,,,,2,
161,,Historic,App_1370,,,,,,,,2,
162,,Historic,App_1371,,,,,,,,1,
163,,Historic,App_1372,,,,,,,,1,
164,,Historic,App_1373,,,,,,,,2,
165,,Historic,App_1374,,,,,,,,1,
166,,Historic,App_1375,,,,,,,,2,
167,,Historic,App_1376,,,,,,,,1,
168,,Historic,App_1377,,,,,,,,1,
169,,Historic,App_1378,,,,,,,,1,
170,,Historic,App_1379,,,,,,,,2,
171,,Historic,App_1380,,,,,,,,6,
172,,Historic,App_1381,,,,,,,,1,
173,,Historic,App_1382,,,,,,,,1,
174,,Historic,App_1383,,,,,,,,1,
175,,Historic,App_1384,,,,,,,,2,
176,,Historic,App_1385,,,,,,,,1,
177,,Historic,App_1386,,,,,,,,2,
178,,Historic,App_1387,,,,,,,,1,
179,,Historic,App_1388,,,,,,,,1,
180,,Historic,App_1389,,,,,,,,1,
181,,Historic,App_1390,,,,,,,,2,
182,,Historic,App_1391,,,,,,,,2,
183,,Historic,App_1392,,,,,,,,1,
